Molecular Weight,Polarity,H Bond Donors,H Bond Acceptors,Solubility
154.8813504,0.796440135,3,1,0.689674636
171.5189366,0.505031848,3,2,0.559806839
160.2763376,0.737913098,3,4,0.630291069
154.4883183,0.854385195,4,3,0.583096491
142.3654799,0.521987716,1,0,0.656092704
164.5894113,0.939760742,4,3,0.347052502
143.7587211,0.760040708,4,3,0.488810546
189.1773001,0.515330524,0,4,0.383544594
196.3662761,0.612206806,2,1,0.42102195
138.3441519,0.976837848,4,0,0.400412138
179.1725038,0.791159867,4,3,0.55166115
152.889492,0.553736284,2,2,0.309496494
156.8044561,0.643772251,3,1,0.781983801
192.5596638,0.728351813,2,0,0.559481913
107.1036058,0.510475035,4,3,0.326285757
108.71293,0.705807757,1,3,0.64102692
102.0218397,0.744729318,0,1,0.434444025
183.2619846,0.621838938,0,2,0.353383796
177.8156751,0.7943195,2,3,0.715151843
187.0012148,0.87662006,2,4,0.398953801
197.8618342,0.617917112,3,4,0.352377134
179.9158564,0.81024995,0,1,0.328453226
146.1479362,0.819811121,2,0,0.664278872
178.0529176,0.974270151,4,1,0.627635624
111.8274426,0.889138084,4,1,0.30409957
163.9921021,0.924172635,1,0,0.41074027
114.3353287,0.745209954,1,0,0.652341016
194.4668917,0.592674293,2,0,0.376070427
152.1848322,0.997907646,3,2,0.588375392
141.466194,0.564677881,3,3,0.406578233
126.4555612,0.73572866,3,1,0.524617142
177.4233689,0.53404655,3,4,0.733711531
145.6150332,0.971925429,0,0,0.451298214
156.8433949,0.98246247,3,0,0.642986195
101.87898,0.859694531,1,0,0.519140616
161.7635497,0.674996422,1,3,0.348077627
161.2095723,0.627191201,0,4,0.480317497
161.6933997,0.632651662,2,1,0.720640033
194.3748079,0.563647013,4,3,0.786523121
168.1820299,0.762904477,1,2,0.722540835
135.9507901,0.570908638,1,4,0.381114195
143.7031954,0.658365333,0,4,0.472754649
169.7631196,0.813353238,1,2,0.715594079
106.0225472,0.863771805,4,1,0.576947967
166.6766715,0.512136352,0,4,0.688092899
167.063787,0.715057992,3,0,0.688891633
121.0382561,0.826062297,3,1,0.33554395
112.8926298,0.926622988,3,3,0.471203283
131.5428351,0.737662391,4,2,0.539510753
136.3710771,0.984602936,2,0,0.772612361
157.019677,0.632816274,1,0,0.749114401
143.8601513,0.506754353,4,0,0.511515991
198.8373838,0.741876432,2,3,0.347832964
110.2044811,0.628056898,0,0,0.502271143
120.8876756,0.911858836,4,4,0.567951666
116.1309518,0.616386336,0,0,0.752198596
165.3108325,0.655314609,2,1,0.447439634
125.3291603,0.895613716,4,4,0.454432073
146.6310773,0.857571626,1,0,0.613591617
124.4425592,0.779025618,2,3,0.552595778
115.8969584,0.852474031,1,0,0.39793448
111.0375141,0.709318432,0,3,0.372363624
165.6329589,0.502655024,1,4,0.544748605
113.8182951,0.505677564,4,4,0.689695478
119.6582362,0.755610894,4,4,0.689415626
136.8725171,0.54164549,3,4,0.787901844
182.099323,0.52553774,1,3,0.491359099
109.7101276,0.98275832,3,1,0.495994663
183.7944907,0.92950132,2,3,0.300909747
109.6098408,0.576013614,0,3,0.714958683
197.6459465,0.500332109,2,0,0.623314222
146.8651202,0.970833898,0,0,0.684961059
197.6761088,0.639162649,1,3,0.5353116
160.484552,0.592948801,4,2,0.760096744
173.9263579,0.845754054,1,1,0.314556899
103.9187792,0.554451869,0,4,0.357640591
128.2806963,0.632324799,3,4,0.488008667
112.0196561,0.98754734,0,4,0.342552954
129.6140198,0.819731387,3,0,0.343943941
111.8727719,0.760338896,2,0,0.58343634
131.7983179,0.698959307,4,1,0.40806101
141.4262995,0.887250477,2,1,0.613267605
106.4147496,0.570478738,1,3,0.764699911
169.2472119,0.983668901,3,0,0.711941105
156.6601454,0.930561504,3,4,0.424215194
126.5389491,0.808828491,2,3,0.344831463
152.3248053,0.521453095,4,2,0.775096234
109.3940511,0.850427825,4,2,0.797247966
157.5946496,0.95664217,2,1,0.48724745
192.9296198,0.762288534,4,0,0.530338631
131.8568952,0.677112411,1,0,0.372666831
166.741038,0.560138672,0,2,0.655090396
113.1797862,0.877450552,3,1,0.510916803
171.6327204,0.942510926,3,1,0.701507573
128.9406093,0.550125872,3,0,0.588648356
118.3191362,0.879492277,0,0,0.321391905
158.6512935,0.508530243,1,2,0.46747727
102.0107546,0.983527459,2,4,0.704298085
182.8940029,0.80752901,4,1,0.644056941
100.4695476,0.776219529,4,0,0.616265974
167.7816537,0.647974917,0,1,0.636252321
127.0007973,0.964645836,3,4,0.602518438
173.5194022,0.632952814,4,2,0.620562163
