Existing_Durability_Years,Tensile_Strength_MPa,Thermal_Resistance_C,Elasticity_Modulus_GPa,Hardness_Mohs,Corrosion_Resistance_Scale,Electrical_Conductivity_S/m,Density_g/cm^3,Mixture_Ratio_A_Percent,Mixture_Ratio_B_Percent,Mixture_Ratio_C_Percent
13.23220256,51.82571174,281.3110998,4.611335507,3.793427434,2.571925469,3.794837962,0.867987763,47.70568557,34.88210755,17.41220687
15.7278405,78.74404422,254.8094665,9.363622756,4.357313775,3.951892008,2.306351798,1.88749868,27.04304068,0.781617544,72.17534178
14.04145064,56.44262875,166.6290304,1.896534372,5.72473398,7.123137994,0.897266834,1.494114944,22.18398701,49.91952115,27.89649184
13.17324774,42.57225743,116.220278,9.507713801,7.755355206,1.568868565,0.944578139,1.441591173,3.720051422,44.400821,51.87912758
11.35482199,31.72751099,181.4482343,8.825396775,4.001567192,6.465244366,2.291824818,2.175920452,45.98298297,2.308287179,51.70872985
14.6884117,34.7074742,146.4468284,5.087461572,9.3174289,5.298818526,1.090139203,2.005360282,35.5823767,34.0706392,30.3469841
11.56380817,77.55749414,126.497527,3.940307936,8.760866922,3.555999791,2.723893014,2.422367486,10.36241037,44.86587488,44.77171475
18.37659501,61.75877912,110.6854364,3.094697164,1.438212664,3.145719528,0.754879675,1.398291609,77.56649325,7.110483434,15.32302332
19.45494141,67.56054478,245.1188728,6.530182358,3.282782718,5.63061469,0.749488185,2.3258227,20.1068764,25.72962029,54.16350331
10.75162278,92.76699051,102.2854917,1.297671323,5.015219614,4.311348225,8.577134178,2.108944217,7.686440792,63.24821932,29.06533988
16.87587557,99.32372632,254.1161497,1.14045458,1.941650999,5.108679021,1.704990581,1.407621908,53.40510859,34.55939317,12.03549824
12.9334238,45.18278891,129.3893291,4.859161502,4.136283901,4.037296436,5.640855818,1.856831242,9.674032132,18.27959169,72.04637617
13.52066842,76.41547422,115.9044165,1.612666666,7.660877731,9.734443242,7.75720989,1.290568928,60.30833254,17.68646917,22.00519829
18.88394957,48.43256637,117.9206068,3.267468894,7.12463033,2.200954886,4.618454697,2.286479859,13.4550289,63.71078954,22.83418156
6.065540873,31.44556996,234.4095615,2.990448238,6.601459857,1.871235579,1.618351891,0.991126439,65.12852584,1.580189354,33.2912848
6.306939496,83.08650577,149.073442,3.278720744,7.394755625,4.090525559,2.076001807,1.161138414,45.65204744,33.17014719,21.17780537
