Year,Temperature,Sunspots,Forest Area,Industrial Output
1910,13.80925908,19.86681319,39.4192745,22.29445714
1911,13.94783593,34.01911194,40.86089954,17.24880944
1912,14.10343798,40.44642278,40.40993121,25.27535221
1913,13.90995583,39.90959497,40.81915947,23.48542241
1914,14.00357483,31.06048624,38.95082285,23.12651976
1915,14.24433451,41.4026319,40.3204764,25.02543674
1916,14.26600445,44.83464373,36.76568158,20.43874881
1917,14.22310666,48.96458079,40.5955904,24.92817545
1918,14.2684908,48.47526745,40.26165728,26.26686037
1919,14.27385023,54.95068851,39.4948031,27.4928174
1920,14.04838122,46.29060935,38.72085339,33.84008463
1921,13.99246669,43.33600888,39.28608178,26.92664862
1922,14.42950077,38.50660512,38.44135611,22.71403325
1923,14.26501051,54.67576193,39.65560357,29.93318599
1924,14.60833333,49.49524066,39.54247055,29.60139317
1925,14.36519976,38.49870208,38.39571917,28.3227857
1926,14.40846435,35.80156927,38.65743741,34.17545251
1927,13.92750844,32.39161043,36.56919557,27.36700591
1928,14.12013636,27.08782189,39.04088911,33.35284443
1929,13.96620837,32.1552181,38.29058052,30.56342048
1930,14.7992975,30.12476093,36.48532821,31.52941916
1931,14.66861692,35.05572191,37.26151792,27.37401806
1932,14.19655445,30.3996746,38.94431663,31.14093353
1933,14.69590169,38.94274123,37.77710737,33.5952811
1934,14.47418893,29.35948371,36.43161963,32.71126588
1935,14.69397059,38.26030213,38.84571272,34.26833447
1936,14.78590863,40.53304571,37.05842193,35.61872713
1937,14.4278537,41.00228492,39.71186965,41.39352994
1938,14.57910687,40.85782268,36.90249072,37.86206322
1939,14.82365761,49.14524674,38.32561195,37.31103859
1940,14.83532908,40.52790965,38.3348308,36.20572133
1941,14.30286172,47.61066677,38.12177832,40.02556165
1942,14.51288924,47.3969047,35.07224775,38.81448498
1943,14.43240443,46.68751835,37.00021144,38.64249077
1944,14.58604849,50.74235964,36.94580714,41.68020461
1945,14.36862931,45.48851027,35.70500767,38.99127865
1946,14.90766367,45.55732557,37.22263713,45.57075484
1947,14.77456564,40.99542049,37.60004463,40.8882947
1948,14.75124522,37.67087331,35.03156807,39.19931653
1949,14.99071632,32.80390651,36.39156491,40.21534803
1950,14.64796553,29.03350961,37.31884603,45.80759846
1951,14.9640799,26.88913929,35.43618676,45.78739156
1952,14.99262576,32.82360686,36.91146624,43.7493089
1953,14.65999017,28.77189559,35.33678121,42.21507421
1954,14.83989242,29.2362247,35.43977638,38.51742188
1955,15.05401025,39.71821904,33.80280675,48.36324043
1956,15.11291831,31.82662376,35.69753315,49.56961259
1957,15.13253269,33.03809949,35.99688776,51.63047152
1958,14.95021786,30.44349178,35.34889961,49.73681056
1959,14.70935462,39.01936151,35.04429482,50.7336415
1960,15.01436002,41.98121182,34.87365449,52.08178292
1961,15.03322254,47.15279301,36.0903216,48.44440194
1962,14.75533864,47.43416395,36.05403297,52.05720109
1963,15.02635515,50.05124188,34.85042787,53.94077036
1964,15.17699581,49.63161275,35.0034425,54.18159797
1965,15.42742228,59.09053892,34.48539507,52.73399491
1966,15.03885373,47.19770657,35.00402518,52.24971548
1967,14.75100652,42.47456567,34.76118907,54.84835338
1968,15.20877032,45.09229327,34.78265647,55.80053239
1969,15.09227055,40.82184907,34.05124117,56.27167439
1970,15.38182951,34.60958457,35.28787518,53.94162028
1971,15.15374421,31.46437419,35.02234211,55.50507007
1972,15.52105848,40.41582837,33.37233371,61.92692195
1973,15.28301017,26.75933126,31.98582055,61.15109195
1974,15.44492726,33.87510358,32.08130814,62.99791858
1975,15.3236334,34.10375846,33.87470889,53.13116241
1976,15.54641057,35.97850169,33.37824545,60.24043823
1977,15.19137509,35.35499481,32.52247958,57.38526776
1978,15.55594344,37.56080043,32.81762269,56.38280504
1979,15.28449399,34.67773621,32.17893487,63.77097717
1980,15.40987798,37.73208821,32.6097575,61.45208768
1981,15.47360694,35.00663697,33.11839098,66.32779086
1982,15.30228568,50.70925226,32.44150271,66.19463068
1983,15.32925246,50.19751224,32.95320264,64.46131192
1984,15.24409367,53.46728346,31.76741332,63.59215098
1985,15.5789487,50.99977311,30.19106612,65.32810603
1986,15.6357091,57.12239216,32.77418865,69.34569285
1987,15.46069212,49.79354386,31.63115993,62.24319234
1988,15.55180169,47.15857126,34.49681711,68.9177483
1989,15.59737659,40.71078973,31.63523748,69.17991264
1990,15.60783398,38.56871152,31.70905283,67.91768326
1991,15.48972968,45.59386543,30.80269016,71.87015993
1992,16.07094422,42.27036157,32.90396574,66.33027739
1993,15.75869426,31.23219798,33.36652798,71.38500788
1994,15.76398084,26.02221005,32.30660574,74.1997815
1995,15.8366257,41.79368419,30.5541971,71.59561774
1996,15.68552912,38.01799085,32.43927619,72.84855261
1997,15.29825521,28.65664059,33.08659671,69.85999471
1998,15.92297068,30.20426433,30.96147211,65.15884292
1999,15.38498372,27.68514197,32.56685579,72.15357737
2000,15.87543591,42.0742897,32.98691888,78.08507039
2001,16.11585692,40.51999809,30.79450914,72.2928104
2002,15.60966748,44.78727196,31.84948697,71.30045053
2003,15.81910687,44.52681514,29.67377779,77.64228311
2004,15.71358739,46.11097772,31.73790408,74.84706111
2005,15.83333323,53.19911375,31.33674457,81.98088776
2006,16.08767622,54.61800353,29.44688453,74.01745194
2007,16.19691394,51.31001381,31.42255319,79.37706514
2008,16.09421836,53.7447075,30.78658718,82.05952418
2009,16.49894004,52.31370484,29.89852327,84.58141483
2010,16.06464835,44.61293228,31.03981991,75.2848741
