Wavelength (Pixel Position),Intensity
4000,95.58
3995,95.24
3990,96.34
3985,95.43
3980,95.94
3975,95.66
3970,96.68
3965,97.21
3960,97.21
3955,97.2
3950,97.21
3945,97.23
3940,97.23
3935,97.23
3930,97.23
3925,97.23
3920,97.23
3915,97.23
3910,97.23
3905,97.23
3900,97.23
3895,97.23
3890,97.23
3885,97.23
3880,97.23
3875,97.23
3870,97.23
3865,97.23
3860,97.23
3855,97.23
3850,97.23
3845,97.23
3840,97.23
3835,97.23
3830,97.23
3825,97.23
3820,97.23
3815,97.23
3810,97.23
3805,97.23
3800,97.23
3795,97.23
3790,97.23
3785,97.23
3780,97.23
3775,97.23
3770,97.23
3765,97.23
3760,97.23
3755,97.23
3750,97.23
3745,97.23
3740,97.23
3735,97.23
3730,97.23
3725,97.23
3720,97.23
3715,97.23
3710,97.23
3705,97.23
3700,97.23
3695,97.23
3690,97.23
3685,97.23
3680,97.23
3675,97.23
3670,97.23
3665,97.23
3660,97.23
3655,97.23
3650,97.23
3645,97.23
3640,97.23
3635,97.23
3630,97.23
3625,97.23
3620,97.22
3615,97.22
3610,97.2
3605,97.22
3600,97.22
3595,97.21
3590,96.82
3585,96.02
3580,95.65
3575,95.83
3570,95.86
3565,95.54
3560,95.85
3555,94.69
3550,92.88
3545,95.9
3540,95.78
3535,95.78
3530,95.89
3525,95.89
3520,95.81
3515,97.07
3510,97.2
3505,97.21
3500,97.23
3495,97.23
3490,97.23
3485,97.23
3480,97.23
3475,97.23
3470,97.23
3465,97.23
3460,97.23
3455,97.23
3450,97.23
3445,97.23
3440,97.23
3435,97.23
3430,97.23
3425,97.23
3420,97.23
3415,97.23
3410,97.23
3405,97.23
3400,97.23
3395,97.23
3390,97.23
3385,97.23
3380,97.23
3375,97.23
3370,97.23
3365,97.23
3360,97.23
3355,97.23
3350,97.23
3345,97.23
3340,97.23
3335,97.23
3330,97.23
3325,97.23
3320,97.23
3315,97.23
3310,97.23
3305,97.23
3300,97.23
3295,97.23
3290,97.23
3285,97.23
3280,97.23
3275,97.23
3270,97.23
3265,97.23
3260,97.23
3255,97.23
3250,97.23
3245,97.23
3240,97.23
3235,97.23
3230,97.23
3225,97.23
3220,97.2
3215,97.21
3210,97.21
3205,97.2
3200,97.22
3195,97.22
3190,96.93
3185,97.22
3180,97.22
3175,97.23
3170,97.23
3165,97.21
3160,97.21
3155,97.23
3150,97.21
3145,97.2
3140,96.91
3135,96.47
3130,95.8
3125,95.53
3120,96.3
3115,96.11
3110,95.61
3105,95.73
3100,92.41
3095,94.04
3090,95.72
3085,95.62
3080,95.35
3075,95.5
3070,94.94
3065,94.65
3060,95.29
3055,95.38
3050,92.08
3045,85.18
3040,76.93
3035,64.71
3030,47.06
3025,35.26
3020,58.04
3015,51.56
3010,64.58
3005,78.01
3000,81.29
2995,80.36
2990,80.2
2985,85.42
2980,92.42
2975,88.2
2970,65.42
2965,29.87
2960,43.51
2955,34.87
2950,43.52
2945,73.22
2940,84.58
2935,90.35
2930,93.12
2925,94.93
2920,96.01
2915,96.4
2910,96.68
2905,96.69
2900,96.87
2895,97.02
2890,97.06
2885,96.99
2880,97.22
2875,97.2
2870,97.18
2865,97.18
2860,97.06
2855,97.02
2850,97.16
2845,97.16
2840,97.16
2835,96.99
2830,97.08
2825,97.22
2820,97.2
2815,97.18
2810,97.21
2805,97.06
2800,97.02
2795,97.17
2790,97.17
2785,97.16
2780,97.17
2775,97.14
2770,97.15
2765,97.16
2760,97.15
2755,96.96
2750,97.1
2745,97.24
2740,97.19
2735,97.13
2730,97.01
2725,97.24
2720,97.21
2715,97.21
2710,97.21
2705,97.22
2700,97.18
2695,97.18
2690,97.17
2685,97.12
2680,96.43
2675,95.55
2670,95.51
2665,96.01
2660,95.81
2655,95.62
2650,95.33
2645,91.96
2640,95.63
2635,95.86
2630,96.02
2625,96.65
2620,95.71
2615,96.04
2610,95.72
2605,97.15
2600,97.2
2595,97.21
2590,97.22
2585,97.21
2580,97.23
2575,97.23
2570,97.23
2565,97.23
2560,97.23
2555,97.23
2550,97.23
2545,97.23
2540,97.19
2535,96.99
2530,95.66
2525,95.66
2520,95.99
2515,96.6
2510,95.49
2505,95.95
2500,96.63
2495,95.51
2490,96.56
2485,96.26
2480,95.52
2475,96.91
2470,96.68
2465,96.8
2460,96.79
2455,96.73
2450,95.91
2445,94.7
2440,96.99
2435,97.18
2430,97.15
2425,97.18
2420,97.23
2415,97.23
2410,97.23
2405,97.23
2400,97.23
2395,97.23
2390,97.23
2385,97.23
2380,97.22
2375,97.23
2370,97.23
2365,97.23
2360,97.22
2355,97.22
2350,97.24
2345,97.24
2340,96.98
2335,96.81
2330,97.21
2325,97.22
2320,97.2
2315,97.22
2310,97.32
2305,97.44
2300,96.88
2295,96.93
2290,97.23
2285,97.22
2280,97.18
2275,96.94
2270,97.19
2265,97.23
2260,97.22
2255,97.22
2250,97.22
2245,97.2
2240,97.21
2235,97.2
2230,97.16
2225,96.25
2220,95.72
2215,95.65
2210,96.28
2205,96.13
2200,95.83
2195,95.49
2190,92.57
2185,94.3
2180,96.08
2175,95.62
2170,95.84
2165,95.42
2160,95.51
2155,96.08
2150,97.21
2145,97.19
2140,96.98
2135,97.18
2130,97.23
2125,97.22
2120,97.21
2115,97.22
2110,97.22
2105,97.21
2100,97.23
2095,97.23
2090,97.23
2085,97.23
2080,97.23
2075,97.23
2070,97.23
2065,97.23
2060,97.23
2055,97.1
2050,96.81
2045,97.19
2040,97.24
2035,97.21
2030,97.22
2025,97.23
2020,97.23
2015,97.23
2010,97.23
2005,97.23
2000,97.23
1995,97.23
1990,97.23
1985,97.23
1980,97.21
1975,97.19
1970,97
1965,97.12
1960,97.21
1955,97.21
1950,97.2
1945,97.22
1940,97.21
1935,97.21
1930,97.21
1925,97.21
1920,97.23
1915,97.23
1910,97.23
1905,97.22
1900,97.2
1895,97.22
1890,97.21
1885,97.2
1880,97.19
1875,97.22
1870,97.07
1865,97.08
1860,97.01
1855,97.19
1850,97.19
1845,97.18
1840,97.21
1835,97.05
1830,97
1825,96.96
1820,97.14
1815,96.95
1810,96.95
1805,97.08
1800,97.21
1795,97.19
1790,97.2
1785,97.21
1780,97.17
1775,97.19
1770,96.92
1765,95.87
1760,96.01
1755,97.14
1750,95.98
1745,95.46
1740,95.34
1735,91.73
1730,94.89
1725,95.06
1720,88.63
1715,64.77
1710,68.16
1705,80.67
1700,64.18
1695,71.6
1690,91.04
1685,95.73
1680,95.97
1675,95.35
1670,95.42
1665,96.42
1660,96.99
1655,97.15
1650,97
1645,97.03
1640,96.95
1635,97.16
1630,96.94
1625,96.81
1620,96.87
1615,96.81
1610,96.82
1605,97.19
1600,97
1595,97.05
1590,96.93
1585,97.18
1580,97.17
1575,97.11
1570,96.95
1565,97.23
1560,97.21
1555,97.23
1550,97.09
1545,96.96
1540,97.19
1535,97.19
1530,97.19
1525,97.19
1520,97.19
1515,97.19
1510,97.19
1505,97.19
1500,97.19
1495,97.19
1490,97.19
1485,97.19
1480,97.19
1475,97.19
1470,97.19
1465,97.19
1460,97.18
1455,97.17
1450,97.16
1445,97.17
1440,97.16
1435,97.09
1430,96.98
1425,97.2
1420,97.08
1415,97
1410,97.16
1405,97.17
1400,97.16
1395,97.16
1390,97.16
1385,97.17
1380,97.19
1375,97.19
1370,97.19
1365,97.19
1360,97.19
1355,97.19
1350,97.19
1345,97.19
1340,97.15
1335,97.16
1330,97.14
1325,97.15
1320,96.83
1315,96.66
1310,96.1
1305,95.4
1300,96.66
1295,95.65
1290,95.96
1285,94.17
1280,93.07
1275,95.7
1270,95.73
1265,95.5
1260,95.8
1255,95.92
1250,95.73
1245,95.91
1240,97.04
1235,97.2
1230,97.2
1225,97.04
1220,97.08
1215,97.17
1210,97.19
1205,96.45
1200,95.94
1195,96
1190,96.9
1185,97.22
1180,97.22
1175,97.22
1170,97.19
1165,97.07
1160,96.81
1155,97.16
1150,96.99
1145,97.12
1140,97.19
1135,97.13
1130,96.98
1125,97.03
1120,97.15
1115,97.18
1110,97.21
1105,97.19
1100,97.2
1095,97.17
1090,97.2
1085,97.16
1080,96.94
1075,97.14
1070,96.91
1065,97.15
1060,96.84
1055,96.63
1050,96.04
1045,85.43
1040,58.85
1035,72.72
1030,61.35
1025,55.45
1020,60.7
1015,86.88
1010,94.13
1005,96.2
1000,96.49
995,96.41
990,96.13
985,95.26
980,95.41
975,95.65
970,95.58
965,94.6
960,94.38
955,98.15
950,98.34
945,98.72
940,98.45
935,99.78
930,99.97
925,99.98
920,99.98
