Chemical Shift (ppm),Intensity with Noise
0,-15.25324079
0.01001001,-5.646763656
0.02002002,-14.00458794
0.03003003,-6.563139415
0.04004004,-4.686337521
0.05005005,-9.222461441
0.06006006,-5.47622
0.07007007,-10.60917109
0.08008008,-8.830572609
0.09009009,3.59113472
0.1001001,-11.61616782
0.11011011,-2.660965463
0.12012012,29.95099601
0.13013013,1.821959628
0.14014014,-10.96160558
0.15015015,-5.185865131
0.16016016,-4.973450124
0.17017017,-16.79882922
0.18018018,1.970610847
0.19019019,11.07564682
0.2002002,7.284144095
0.21021021,5.461026697
0.22022022,5.443305225
0.23023023,14.45162281
0.24024024,-0.794150363
0.25025025,0.220903886
0.26026026,-9.617354839
0.27027027,4.716984187
0.28028028,13.99196606
0.29029029,17.34878339
0.3003003,1.375045942
0.31031031,-17.11333622
0.32032032,-19.24515873
0.33033033,3.044328378
0.34034034,-10.96059487
0.35035035,7.96979555
0.36036036,8.339010056
0.37037037,7.708754592
0.38038038,-2.830457002
0.39039039,18.9438305
0.4004004,5.109706049
0.41041041,6.065045217
0.42042042,-3.103216997
0.43043043,0.604649667
0.44044044,0.307060352
0.45045045,0.412415808
0.46046046,-4.164691167
0.47047047,1.611944706
0.48048048,-19.9337194
0.49049049,-2.97099078
0.500500501,-4.582194209
0.510510511,15.34954509
0.520520521,7.336257147
0.530530531,-21.84555105
0.540540541,-15.42707381
0.550550551,-13.65591192
0.560560561,-16.36585072
0.570570571,12.04233517
0.580580581,-12.06456967
0.590590591,-13.83777828
0.600600601,-1.728633551
0.610610611,3.223035673
0.620620621,6.733926774
0.630630631,-7.857603542
0.640640641,13.07818802
0.650650651,4.870544415
0.660660661,-1.352185119
0.670670671,1.88784103
0.680680681,-22.73937351
0.690690691,4.185954648
0.700700701,-10.64756871
0.710710711,6.027986364
0.720720721,8.503773006
0.730730731,-1.480909657
0.740740741,0.281803867
0.750750751,5.492105728
0.760760761,-0.278657504
0.770770771,2.339906083
0.780780781,-14.38935417
0.790790791,8.051684881
0.800800801,-1.734857612
0.810810811,-12.5066905
0.820820821,-1.204267585
0.830830831,1.326337943
0.840840841,10.61607407
0.850850851,4.632067091
0.860860861,7.841197582
0.870870871,9.487797004
0.880880881,-1.542797001
0.890890891,-4.40497356
0.900900901,5.153318475
0.910910911,-10.58162606
0.920920921,-11.6954902
0.930930931,-2.592814388
0.940940941,7.58152691
0.950950951,21.99844057
0.960960961,8.06891275
0.970970971,-15.47251225
0.980980981,-5.667128281
0.990990991,12.4971161
1.001001001,9.744942779
1.011011011,2.610353519
1.021021021,-12.11269493
1.031031031,23.41590671
1.041041041,-7.089056527
1.051051051,26.5194198
1.061061061,4.581913124
1.071071071,-10.44313972
1.081081081,5.516165274
1.091091091,-15.18398673
1.101101101,-2.134849087
1.111111111,1.105490609
1.121121121,-1.904015301
1.131131131,-2.37863008
1.141141141,-3.454565801
1.151151151,-3.224564858
1.161161161,4.236518652
1.171171171,2.327410041
1.181181181,12.14647369
1.191191191,21.42871337
1.201201201,18.75596178
1.211211211,5.562619196
1.221221221,-8.671627158
1.231231231,-9.331769784
1.241241241,9.147604486
1.251251251,0.582304492
1.261261261,-13.2432643
1.271271271,4.805059042
1.281281281,12.44129913
1.291291291,3.326770307
1.301301301,1.259502395
1.311311311,12.83976223
1.321321321,-10.81748397
1.331331331,4.683007359
1.341341341,-11.19957556
1.351351351,-1.558721032
1.361361361,10.59372557
1.371371371,13.33362756
1.381381381,-13.02148251
1.391391391,-13.32034806
1.401401401,21.00841884
1.411411411,-10.67069018
1.421421421,-2.338831835
1.431431431,17.16704495
1.441441441,-2.518315158
1.451451451,5.534923992
1.461461461,9.503271209
1.471471471,2.679889396
1.481481481,-2.242412831
1.491491491,-5.211601577
1.501501502,6.75945927
1.511511512,13.1919668
1.521521522,1.818734755
1.531531532,-5.630902129
1.541541542,-3.914271206
1.551551552,0.954628003
1.561561562,16.55358128
1.571571572,-1.719584249
1.581581582,0.101467282
1.591591592,7.608639311
1.601601602,-12.17318391
1.611611612,-5.53189437
1.621621622,8.078797047
1.631631632,1.234654782
1.641641642,-3.354210925
1.651651652,2.218122557
1.661661662,1.086910057
1.671671672,9.35989004
1.681681682,4.797608542
1.691691692,26.1209129
1.701701702,-15.42458261
1.711711712,4.323811348
1.721721722,10.74304234
1.731731732,-3.752074547
1.741741742,1.425082367
1.751751752,7.374201834
1.761761762,-5.85017093
1.771771772,-3.708228083
1.781781782,-4.094961955
1.791791792,-0.430347706
1.801801802,-16.47693596
1.811811812,1.523118481
1.821821822,1.525653099
1.831831832,-5.892126327
1.841841842,-17.48921289
1.851851852,-3.369867907
1.861861862,-2.973703392
1.871871872,10.0392592
1.881881882,-1.989556225
1.891891892,-7.382009699
1.901901902,10.39722455
1.911911912,-7.127129803
1.921921922,-9.580903002
1.931931932,-4.812928376
1.941941942,-4.409266813
1.951951952,-4.21422924
1.961961962,2.076280132
1.971971972,-13.78909735
1.981981982,5.923199867
1.991991992,-11.66942099
2.002002002,-12.3425887
2.012012012,-18.06305957
2.022022022,-9.594944572
2.032032032,-2.374200513
2.042042042,-13.84360958
2.052052052,-2.032992362
2.062062062,3.397918328
2.072072072,26.80609764
2.082082082,4.738576646
2.092092092,1.542356083
2.102102102,11.56258191
2.112112112,7.373131883
2.122122122,2.544748829
2.132132132,10.72507226
2.142142142,-17.69806795
2.152152152,4.946074367
2.162162162,1.148747616
2.172172172,-0.874733526
2.182182182,-18.38986707
2.192192192,7.396923194
2.202202202,-1.31430601
2.212212212,-5.014899686
2.222222222,-6.705254147
2.232232232,-7.542876011
